Time (s),T1,T2,T3,T_median,Output Power,Output %,Duty Cycle
0,15.32,15.32,15.52,15.32,255,100%,110
1,15.23,15.03,15.42,15.23,255,100%,110
2,14.93,15.03,15.42,15.03,255,100%,110
3,15.32,15.23,15.32,15.32,255,100%,110
4,14.93,15.13,15.32,15.13,255,100%,110
5,14.83,14.63,15.13,14.83,255,100%,110
6,14.93,13.84,15.23,14.93,255,100%,110
7,14.63,14.73,14.93,14.73,255,100%,110
8,14.63,14.53,14.83,14.63,255,100%,110
9,14.43,14.43,14.73,14.43,255,100%,110
10,13.94,14.33,14.83,14.33,255,100%,110
11,14.24,14.53,14.53,14.53,255,100%,110
12,14.04,14.14,14.43,14.14,255,100%,110
13,13.84,13.94,14.33,13.94,255,100%,110
14,13.94,13.94,14.24,13.94,255,100%,110
15,13.74,13.84,14.24,13.84,255,100%,110
16,13.64,13.74,13.94,13.74,255,100%,110
17,13.24,13.74,14.43,13.74,255,100%,110
18,13.44,13.44,13.84,13.44,255,100%,110
19,13.14,13.24,13.64,13.24,255,100%,110
20,13.24,13.04,13.54,13.24,255,100%,110
21,13.14,13.14,13.44,13.14,255,100%,110
22,13.34,13.14,14.04,13.34,255,100%,110
23,12.94,12.74,13.24,12.94,255,100%,110
24,12.54,12.94,13.34,12.94,255,100%,110
25,12.74,12.64,13.04,12.74,255,100%,110
26,12.74,12.74,12.94,12.74,255,100%,110
27,12.54,12.25,12.94,12.54,255,100%,110
28,12.35,12.35,12.74,12.35,255,100%,110
29,12.44,12.35,12.74,12.44,255,100%,110
30,12.25,12.05,12.54,12.25,255,100%,110
31,12.35,12.25,13.74,12.35,255,100%,110
32,12.15,11.94,12.44,12.15,255,100%,110
33,12.15,10.23,12.54,12.15,255,100%,110
34,11.94,11.94,12.25,11.94,255,100%,110
35,11.34,11.64,12.15,11.64,255,100%,110
36,11.84,11.54,12.35,11.84,255,100%,110
37,11.74,11.34,12.05,11.74,255,100%,110
38,11.34,11.44,11.94,11.44,255,100%,110
39,11.44,11.64,11.94,11.64,255,100%,110
40,11.24,11.34,11.74,11.34,255,100%,110
41,11.14,11.84,11.44,11.44,255,100%,110
42,10.84,11.34,11.54,11.34,255,100%,110
43,11.14,11.24,11.44,11.24,255,100%,110
44,10.84,10.84,11.44,10.84,255,100%,110
45,10.94,11.04,11.34,11.04,255,100%,110
46,10.84,11.14,11.24,11.14,255,100%,110
47,10.74,10.94,11.04,10.94,255,100%,110
48,10.64,10.64,11.04,10.64,255,100%,110
49,10.84,10.64,11.04,10.84,255,100%,110
50,10.74,10.44,10.94,10.74,255,100%,110
51,10.44,10.44,11.14,10.44,255,100%,110
52,10.34,10.54,10.74,10.54,255,100%,110
53,10.34,7.58,10.64,10.34,255,100%,110
54,10.34,10.13,10.64,10.34,255,100%,110
55,9.93,9.93,10.54,9.93,255,100%,110
56,10.13,9.93,10.44,10.13,255,100%,110
57,10.03,9.83,10.34,10.03,255,100%,110
58,10.03,9.83,10.34,10.03,255,100%,110
59,9.83,10.03,10.23,10.03,255,100%,110
60,9.73,9.93,10.13,9.93,255,100%,110
61,9.73,9.73,10.13,9.73,255,100%,110
62,9.73,9.93,10.03,9.93,255,100%,110
63,9.63,9.73,9.93,9.73,255,100%,110
64,9.53,9.73,9.83,9.73,255,100%,110
65,9.42,9.53,9.83,9.53,255,100%,110
66,9.42,9.32,9.73,9.42,255,100%,110
67,9.32,9.12,9.73,9.32,255,100%,110
68,9.22,9.32,9.63,9.32,255,100%,110
69,9.12,9.53,9.53,9.53,255,100%,110
70,9.12,9.22,9.53,9.22,255,100%,110
71,9.12,8.91,9.42,9.12,255,100%,110
72,8.91,8.91,9.42,8.91,255,100%,110
73,8.91,9.22,9.32,9.22,255,100%,110
74,9.12,7.68,9.22,9.12,255,100%,110
75,8.81,8.91,9.12,8.91,255,100%,110
